Company @ Role @ Location @ Application @ Age
Western Digital @ Intern - Cryogenic Probe Station 🎓 @ San Jose, CA @ 🔒 @ 5d
↳ @ Software Engineer Intern - Software Engineering - Firmware @ Rochester, MN @ 🔒 @ 5d
Western Digital @ Summer 2026 Intern - Cryogenic Probe Station @ San Jose, CA @ 🔒 @ 7d
RTX @ Software Engineering Intern - Summer 2026 @ Cedar Rapids, IA @ 🔒 @ 7d
Northrop Grumman @ Intern Product Support Engineer @ "4 locationsEscondido, CA
San Diego, CA
Palmdale, CA
El Segundo, CA" @ 🔒 @ 8d
RTX @ Intern - Systems Engineer @ Tucson, AZ @ 🔒 @ 8d
CACI @ Hardware Reverse Engineering Intern @ Dulles, VA @ 🔒 @ 8d
Western Digital @ Intern - Cryogenic Probe Station @ San Jose, CA @ 🔒 @ 8d
Ciena @ Digital Verification/Design @ Ottawa, ON, Canada @ 🔒 @ 8d
General Dynamics UK @ Co-op Intern - Software Engineer @ Calgary, AB, Canada @ 🔒 @ 9d
↳ @ Co-op Intern - Software Engineer @ Ottawa, ON, Canada @ 🔒 @ 9d
General Dynamics UK @ Co-op Intern - Software Engineer @ Calgary, AB, Canada @ 🔒 @ 10d
Northrop Grumman @ 2026 Systems Engineering Internship - Linthicum MD @ Halethorpe, MD @ 🔒 @ 11d
Leidos @ Computer Engineering Intern/Co-op @ Bethesda, MD @ 🔒 @ 11d
Cinemark Theatres @ Technology Operations and Presentation Intern @ Plano, TX @ 🔒 @ 12d
The Kinetic Group @ Software & Automation Intern - Remington Ammunition @ Jacksonville, AR @ 🔒 @ 13d
Masimo @ Intern - Hardware Engineer @ Irvine, CA @ 🔒 @ 14d
Seagate Technology @ Firmware and Software Engineering Intern @ Longmont, CO @ 🔒 @ 14d
Rolls Royce @ System Integration and Validation Co-op @ Greer, SC @ 🔒 @ 14d
RTX @ 2026 Intern – Software Engineer Intern - AZ @ Tucson, AZ @ 🔒 @ 15d
Nokia @ Nokia Defense Hardware Product Engineering Co-op @ Naperville, IL @ 🔒 @ 15d
Schweitzer Engineering Laboratories @ Software Engineer Intern @ Moscow, ID @ 🔒 @ 15d
General Dynamics UK @ Co-op Intern - Software Engineer @ Ottawa, ON, Canada @ 🔒 @ 18d
Nokia @ HW Engineering Support Co-op/Intern @ Canada @ 🔒 @ 20d
Astranis @ Embedded Software Developer – Network/Payload Software Intern - Summer 2026 @ SF @ 🔒 @ 20d
Shield AI @ C++ Software Engineering Intern – 2026 Summer Intern @ San Diego, CA @ 🔒 @ 21d
Nokia @ Electromechanical Assembly Co-op/Intern @ Canada @ 🔒 @ 22d
Archer @ Software Engineer Intern - Flight Controls Software @ San Jose, CA @ 🔒 @ 27d
Roche @ Intern - Systems Engineer - Systems & Hardware Engineering Chapter @ Tucson, AZ @ 🔒 @ 28d
🔥 NVIDIA @ VLSI Design Automation Intern - Applied AI @ Santa Clara, CA @ 🔒 @ 28d
RTX @ Electrical Engineer Co-Op - Test & Validation @ Rockford, IL @ 🔒 @ 28d
Lucid Motors @ Intern – Audio Algorithm and Signal Processing Software Engineer @ Newark, CA @ 🔒 @ 29d
↳ @ Intern – Controls and Automation Engineer - Summer 2026 @ Newark, CA @ 🔒 @ 29d
ASML @ EUV Field Service Engineer @ Austin, TX @ 🔒 @ 29d
General Motors @ Intern - Software Engineer - Autonomous Robot @ Mountain View, CA @ 🔒 @ 29d
Motorola @ Summer 2026 Internship: Hardware Engineer Intern - Electrical or Mechanical @ "San Mateo, CA
Culver City, CA" @ 🔒 @ 1mo
Geotab @ Embedded Developer Intern - Video Products - Summer/May 2026 4 Months @ "Oakville, ON, Canada
Kitchener, ON, Canada" @ 🔒 @ 1mo
NXP Semiconductors @ AI/ML ASIC Design and Implementation Automation Intern @ San Diego, CA @ 🔒 @ 1mo
General Motors @ Intern - Software Engineer - ADAS Core Software Team @ "Milford Charter Twp, MI
Warren, MI" @ 🔒 @ 1mo
Geotab @ Vehicle Systems Engineer Intern @ Kitchener, ON, Canada @ 🔒 @ 1mo
Leidos @ FPGA Engineer Intern @ Arlington, VA @ 🔒 @ 1mo
Ciena @ Hardware Design Co-Op - Summer 2026 @ Ottawa, ON, Canada @ 🔒 @ 1mo
Rocket Lab USA @ Integration & Test Intern @ Long Beach, CA @ 🔒 @ 1mo
Carnegie Mellon University @ Engineering Intern - Advanced Computing Lab @ Pittsburgh, PA @ 🔒 @ 1mo
Draper @ Electronics Integration & Test Intern @ Cambridge, MA @ 🔒 @ 1mo
Sandisk @ Intern - Firmware and Software Engineering @ Irvine, CA @ 🔒 @ 1mo
↳ @ Summer 2026 Intern - Firmware Verification Engineering @ Milpitas, CA @ 🔒 @ 1mo
Draper @ Electro-Mechanical Instrument Co-op @ Cambridge, MA @ 🔒 @ 1mo
Nokia @ Lab Support Engineer Co-op @ San Jose, CA @ 🔒 @ 1mo
Microchip Technology @ Engineering Intern @ Cambridge, UK @ 🔒 @ 1mo
Northrop Grumman @ Systems Engineer Intern @ Reisterstown, MD @ 🔒 @ 1mo
↳ @ 2026 Systems Engineering Internship - Linthicum MD @ Halethorpe, MD @ 🔒 @ 1mo
Nokia @ Optical Networking Intern/Co-op @ Berkeley Heights, NJ @ 🔒 @ 1mo
ASML @ Intern - System Integration @ San Diego, CA @ 🔒 @ 1mo
Zipline @ Mechatronics Intern @ San Bruno, CA @ 🔒 @ 1mo
Evolve Technology @ Expedite C++ Software Engineering Intern - Summer @ Waltham, MA @ 🔒 @ 1mo
Nokia @ Silicon Photonics Packaging Intern @ Ottawa, ON, Canada @ 🔒 @ 1mo
Hologic @ Intern – Engineering @ San Diego, CA @ 🔒 @ 1mo
↳ @ Intern Systems Engineer @ San Diego, CA @ 🔒 @ 1mo
General Motors @ Intern @ "Milford Charter Twp, MI
Warren, MI" @ 🔒 @ 1mo
Northrop Grumman @ 2026 Engineering Intern - Northridge CA @ Northridge, LA @ 🔒 @ 1mo
General Motors @ Intern - Autonomous Vehicle Systems and Integration - Bachelors Degree @ "Milford Charter Twp, MI
Warren, MI" @ 🔒 @ 1mo
Western Digital @ Software Engineer Intern - Software Engineering - Firmware @ Rochester, MN @ 🔒 @ 1mo
Moog @ Intern – Product Engineering @ Buffalo, NY @ 🔒 @ 1mo
RTX @ 2026 Intern – Production Test Engineering Intern - AZ @ Tucson, AZ @ 🔒 @ 1mo
↳ @ Intern @ Warner Robins, GA @ 🔒 @ 1mo
🔥 Microsoft @ Research Intern - Data Center and AI Networking @ Redmond, WA @ 🔒 @ 1mo
Zoox @ Vehicle Engineering Intern @ San Mateo, CA @ 🔒 @ 1mo
Cadence Design Systems @ Design Engineer Intern - Summer 2026 @ San Jose, CA @ 🔒 @ 1mo
Axiom Space @ Space Station Computer Science and Computer Engineering Intern - Summer 2026 @ Houston, TX @ 🔒 @ 1mo
